mean_vel,std_vel,max_vel,min_vel,ptp_vel,rms_vel,energy_vel,dominant_freq_vel,spectral_centroid_vel,station_id,channel,sampling_rate,event_name
1.2338566037813178e-11,1.9846888945421762e-05,0.0004983445208703039,-0.0002989388290360085,0.0007972833499063125,1.9846888945425597e-05,1.4180364029234046e-07,1.46484375,2.1777428559953163,UGM,SHE,50.0,event_query?eventid=11831384
7.079312526614334e-11,1.419012359416459e-05,0.00021572281993394784,-0.00018249714811070743,0.0003982199680446553,1.4190123594341179e-05,7.248945874416416e-08,2.24609375,2.7417576623627213,UGM,SHZ,50.0,event_query?eventid=11831384
-2.5160862638347886e-10,1.6909790178738603e-05,0.00031777246858032343,-0.00032676851810295275,0.0006445409866832762,1.6909790180610502e-05,1.0293876142281771e-07,1.708984375,2.603117839841804,UGM,SHN,50.0,event_query?eventid=11831384
-2.2110185518898785e-10,5.333306787417561e-06,5.890452483173049e-05,-5.451500696805874e-05,0.00011341953179978923,5.33330679200065e-06,1.0239898081536096e-08,3.271484375,2.7752524434587036,UGM,SHN,50.0,event_query?eventid=11805146
1.9332010631200517e-10,4.240315740767225e-06,4.0394885824550295e-05,-4.8306300975900366e-05,8.870118680045065e-05,4.2403157451740514e-06,6.4728999427575505e-09,2.587890625,3.1546266978166635,UGM,SHZ,50.0,event_query?eventid=11805146
-3.90834478891302e-10,5.3627009324032714e-06,6.190311332796212e-05,-5.815274816968133e-05,0.00012005586149764345,5.36270094664531e-06,1.0353082119534181e-08,1.611328125,2.9998394226613017,UGM,SHE,50.0,event_query?eventid=11805146
3.75721184407297e-10,1.2561923079204869e-06,1.1178218705833707e-05,-1.6258315562521103e-05,2.743653426835481e-05,1.2561923641087012e-06,5.680869320322029e-10,0.1953125,3.003454694768102,XMI,BHZ,40.0,event_query?eventid=11807656
-1.507130771752322e-09,2.2954380591529332e-06,2.643056529642554e-05,-2.4373754310446904e-05,5.0804319606872445e-05,2.2954385539262314e-06,1.896853735746342e-09,0.15625,3.330578781139437,XMI,BHN,40.0,event_query?eventid=11807656
-1.9214930572508894e-09,1.8095887626889373e-06,1.749881590504627e-05,-1.393147765335058e-05,3.143029355839685e-05,1.8095897828473855e-06,1.1788614655868334e-09,0.1953125,2.7855583941608955,XMI,BHE,40.0,event_query?eventid=11807656
1.3953880462145813e-09,4.835477086300831e-06,5.407715773550544e-05,-5.574194731722319e-05,0.00010981910505272863,4.8354772876364716e-06,8.417462615729341e-09,0.15625,2.2494524804575953,XMI,BHN,40.0,event_query?eventid=11854498
-1.1639972801996367e-09,5.979385311551306e-06,7.369734170925109e-05,-5.21992883762595e-05,0.00012589663008551058,5.9793854248480404e-06,1.2871098021198665e-08,0.15625,2.2863997476873092,XMI,BHE,40.0,event_query?eventid=11854498
-7.138629428817308e-10,3.1734069882184806e-06,2.4408296349316798e-05,-2.4758583290281678e-05,4.9166879639598476e-05,3.173407068510781e-06,3.625384472090708e-09,0.15625,2.2563068854742743,XMI,BHZ,40.0,event_query?eventid=11854498
-1.8588422540654142e-10,5.784980044835337e-06,7.380047980706545e-05,-5.034618575317809e-05,0.00012414666556024353,5.7849800478217725e-06,1.2047757895330559e-08,1.85546875,2.4448134098426912,UGM,SHE,50.0,event_query?eventid=11830532
-3.5878953849679376e-10,5.999955788933749e-06,5.797007884435477e-05,-6.542646640920159e-05,0.00012339654525355634,5.999955799661322e-06,1.2959809055240235e-08,1.806640625,2.3338257564870677,UGM,SHN,50.0,event_query?eventid=11830532
1.727196222706229e-10,4.617439560222416e-06,4.481572190928711e-05,-4.6366559060641086e-05,9.118228096992819e-05,4.617439563452785e-06,7.675469323970056e-09,1.806640625,2.634965326464767,UGM,SHZ,50.0,event_query?eventid=11830532
1.6733711553883262e-09,4.901405965801533e-05,0.0005207049152910265,-0.0006268358564095835,0.00114754077170061,4.901405968658031e-05,8.648560969054765e-07,2.05078125,2.518484929517145,UGM,SHZ,50.0,event_query?eventid=11831543
-1.2920081830198186e-09,6.232129866945938e-05,0.0009260612299317661,-0.0010918953760103252,0.002017956605942091,6.232129868285196e-05,1.398219937026208e-06,1.220703125,2.216170737120278,UGM,SHE,50.0,event_query?eventid=11831543
1.201157864768932e-09,6.414995310287662e-05,0.0009084352981235142,-0.0011185497104346498,0.002026985008558164,6.4149953114122e-05,1.4814779344358579e-06,0.927734375,2.322729638010342,UGM,SHN,50.0,event_query?eventid=11831543
-3.191742396180454e-09,3.0213545151508002e-05,0.0012514416880631497,-0.0007529575519579475,0.002004399240021097,3.021354532009496e-05,3.2862899549139553e-07,1.806640625,3.411979087784273,UGM,SHE,50.0,event_query?eventid=11929119
-6.685636053521147e-11,1.848765234513099e-05,0.0003578293794120769,-0.00026698370481793203,0.0006248130842300089,1.8487652345251877e-05,1.23045584126003e-07,1.708984375,3.574398662140936,UGM,SHN,50.0,event_query?eventid=11929119
2.1158870888965115e-11,1.7005236967208026e-05,0.00030750611226396205,-0.00041263793735523096,0.000720144049619193,1.700523696722119e-05,1.0410411035208463e-07,3.61328125,4.030463749849336,UGM,SHZ,50.0,event_query?eventid=11929119
-7.389813653896803e-09,0.0003686459636383835,0.007208008853485962,-0.005504800020738641,0.012712808874224601,0.00036864596371245095,4.892394476213341e-05,0.390625,1.588076479819187,UGM,SHN,50.0,event_query?eventid=11877842
