station_id,station_lat,station_lon,station_elev,distance_to_event,pga,rms_acc,arias_intensity,sig_duration,predominant_freq,mean_freq,spectral_centroid,low_freq_energy,mid_freq_energy,high_freq_energy,component
YP.NE59..BHZ,44.095901,125.961098,214.0,14.464701825345022,0.003697824186259314,0.0009058310690046538,8.671399788050268e-05,434.32500000000005,0.048828125,1.357091483138206,1.357091483138206,6.304350371233606e-05,6.711247856773971e-08,7.583666435136332e-06,Z
YP.NE8A..BHN,46.1856,125.0896,137.0,15.876032785929773,0.003701769492018305,0.0007520074658825733,5.976391774896203e-05,190.22500000000002,0.05859375,0.10509333545389049,0.10509333545389049,3.809933019459486e-05,2.2629077416007623e-07,1.3234553194213323e-09,N
YP.NEAE..BHZ,47.2994,132.525604,70.0,12.462488939444805,0.005893961783044152,0.0012450800572704674,0.0001638284586522097,153.05,0.078125,0.09949461768978161,0.09949461768978161,0.0001759228982683349,1.8198049013735807e-06,2.3765235338419395e-07,Z
YP.NEAE..BHE,47.2994,132.525604,70.0,12.462488939444805,0.005099879686796766,0.0009810765327086576,0.00010171864186669322,358.07500000000005,0.087890625,0.19182529737767817,0.19182529737767817,0.00010000880805042698,3.046279604697425e-06,1.0286471610298733e-08,E
CB.HEH.00.BHN,50.252998,127.410004,165.0,16.931264331546245,0.0030867532022697784,0.0005990150431416435,3.7920743462410955e-05,173.1,0.048828125,0.05531321326539019,0.05531321326539019,1.3978760522066556e-05,2.081167270788167e-08,9.771710802532652e-11,N
YP.NE8A..BHE,46.1856,125.0896,137.0,15.876032785929773,0.004176885744772966,0.000877647625938293,8.140201195128846e-05,272.77500000000003,0.048828125,0.13782762921740768,0.13782762921740768,3.6346028679992254e-05,3.4606673593399156e-07,2.1371153199655318e-09,E
YP.NE6A..BHZ,44.8055,124.540398,175.0,15.666950206389293,0.00344661136903281,0.0008263750308837853,7.21687482152645e-05,187.4,0.048828125,0.11457221253938397,0.11457221253938397,4.361264922508013e-05,2.504032240894557e-07,1.5565812368530442e-07,Z
CB.SNY.00.BHZ,41.827801,123.578003,54.0,15.548018790513934,0.06994898565136694,0.002593807901318378,0.0007110121151607855,123.46000000000001,0.0732421875,0.5379411021153941,0.5379411021153941,0.0002739468304433167,9.890603659656098e-06,8.91860514945693e-06,Z
YP.NE7E..BHZ,45.106998,129.736496,251.0,12.519170410423966,0.0038327170016313784,0.0008458411636946196,7.560881622265385e-05,296.8,0.048828125,0.09297303051172869,0.09297303051172869,7.555274029136145e-05,1.9078400156141598e-07,1.0450250559258483e-07,Z
YP.NEA6..BHZ,47.605701,124.994904,161.0,16.615800783246886,0.00710278582416302,0.00043137624997315564,1.9665531000282416e-05,369.95000000000005,0.048828125,1.8923755585330537,1.8923755585330537,9.662400174536456e-06,6.065218434264415e-07,1.552744792111098e-06,Z
YP.NE92..BHE,46.785599,121.514397,586.0,18.363987426837216,0.0016977818407519613,0.00033767063089872794,1.2050276717482373e-05,363.32500000000005,0.01953125,0.49642063108828627,0.49642063108828627,4.476897570199325e-06,7.845442278628664e-07,1.0209508985710346e-08,E
YP.NE58..BHE,44.355202,125.339798,203.0,14.973425671843335,0.003928363412932009,0.0008238140031945982,7.172480336300061e-05,266.85,0.048828125,0.09986534959461923,0.09986534959461923,3.8892790979247154e-05,4.0770739435984735e-07,3.56416354250244e-08,E
YP.NE76..BHE,45.534599,120.576103,495.0,18.544742029555643,0.001310668269924201,0.000292169704725203,9.021185899688991e-06,361.77500000000003,0.01953125,0.46153182210560806,0.46153182210560806,4.159631377969943e-06,5.685939305010964e-07,4.675431531849415e-08,E
YP.NE47..BHN,43.458599,124.318398,180.0,15.383530289258232,0.003368059578637597,0.0005225505316726038,2.8858097984149288e-05,224.57500000000002,0.05859375,0.12503648930797331,0.12503648930797331,1.967321285521773e-05,2.4843943532043117e-07,2.2071001398343968e-08,N
YP.NE9B..BHE,46.946201,129.7948,225.0,13.567661804079249,0.0025609159067544133,0.0007273206456972601,5.590447970716324e-05,260.475,0.078125,0.0916016342943401,0.0916016342943401,3.883434015642458e-05,3.2020435946813934e-07,9.561639758709325e-09,E
CB.DL2.00.BHN,38.905998,121.627998,65.0,16.841954207403248,0.0030056047334623406,0.0006752416699940257,4.818588662415357e-05,321.8,0.048828125,0.1579044520102304,0.1579044520102304,1.7340972115763677e-05,6.93904778675316e-07,1.7269352193703022e-08,N
II.ERM.00.BHE,42.015,143.1572,40.0,4.495901195204339,0.06895433284681822,0.00546082307969023,0.0031514567312214115,253.65019351973993,0.14160145446658134,1.3437952364514303,1.3437952364514303,0.004070428461501282,0.003325919274388042,6.959883733284308e-05,E
